family;genus;epithet;commonname;life_forms;endemism;RED_List_2022;MMA_2022;extinction_risk_category_2013;fruit_fleshy_dry;fruit_dehisces;winged_nonwinged;fruit_form;fruit_type;dispersal_syndrome;seed_form;seed_handling;storage_behaviour;D.O.I.
Bromeliaceae;Neoglaziovia;variegata;caro ;Herb;ED;NE;NA;NE;fleshy;indehiscent;non-winged;ovoid;berry;Zoochory;reniform;PY - mechanically scarified;NA;https://www.jstor.org/stable/4393700,https://doi.org/10.1590/2175-7860200859412,https://doi.org/10.1590/S1516-89132013000400004,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Cactaceae;Cereus;jamacaru;mandacaru;Succulent;ED;LC;NA;NE;fleshy;dehiscent;non-winged;ovoid;berry;Zoochory;testa with cuticular folds;ND;ORT_NEMA;https://doi.org/10.1590/S0102-33062002000100004,http://dx.doi.org/doi:10.21954/ou.ro.0000d49b,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Cactaceae;Harrisia;adscendens;rabo-de-raposa;Succulent;ED;LC;NA;NE;fleshy;dehiscent;non-winged;globose;berry;Zoochory;cochleariform (flattened);ND;NA;http://dx.doi.org/doi:10.21954/ou.ro.0000d49b,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Cactaceae;Pilosocereus;pachycladus;facheiro,facheiro-azul;Succulent;ED;LC;NA;NE;fleshy;dehiscent;non-winged;globose;berry;Zoochory;ovoid-obliquely;ND;ORT;https://doi.org/10.1590/S1806-66902010000300021,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1590/1983-21252023v36n113rc
Cactaceae;Pilosocereus;piauhyensis;facheiro-dourado;Succulent;ED;LC;NA;LC;fleshy;dehiscent;non-winged;depressed-globose;berry;Zoochory;flattened;ND;NA;http://dx.doi.org/doi:10.21954/ou.ro.0000d49b,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Cactaceae;Xiquexique;gounellei;xique-xique;Succulent;ED;LC;NA;NE;fleshy;dehiscent;non-winged;subglobose;berry;Zoochory;hat-shaped (symmetric hilum-micropylar region expanded);ND;ORT_NEMA;https://doi.org/10.1590/S0100-84042012000100003,https://doi.org/10.1590/S0102-33062002000100004,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Cannabaceae;Celtis;iguanaea;janeirinho,esporÆo-de-galo;Shrub,tree;ED;LC;NA;NE;fleshy;indehiscent;non-winged;ellipsoid,globose,ovoid;drupe;Zoochory;globose,subglobose;PY - mechanically scarified;NA;https://doi.org/10.1007/BF02805398,https://doi.org/10.1007/s40415-020-00656-x,https://doi.org/10.1590/2175-7860200960208,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Capparaceae;Crateva;tapia;cabaceira,trapi ;Tree;NE;LC;NA;NE;fleshy;indehiscent;non-winged;globose;amphisarca;Zoochory;reniform;PY - mechanically scarified;ORT;https://doi.org/10.1590/2175-7860201970088,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1007/s10531-023-02565-3
Celastraceae;Monteverdia;rigida;pau-de-colher,bom-nome;Shrub,tree;ED;LC;NA;LC;dry;dehiscent;non-winged;spheroid;capsule;Zoochory;oblong,ellipsoid, white arils that completely cover the seeds;NA;NA;https://doi.org/10.1590/S0102-33062009000400014,http://dx.doi.org/10.1600/036364417X696456,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Combretaceae;Combretum;leprosum;mofumbo;Shrub,tree,Liana/Scandent/Vine;NE;LC;NA;NE;dry;indehiscent;winged;elliptic;drupe;Anemochory;ellipsoid;ND;ORT;https://www.jstor.org/stable/25800079,https://doi.org/10.1590/2175-7860201869417,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://doi.org/10.1093/forsci/fxab027
Convolvulaceae;Ipomoea;asarifolia;salsa,jetirana,salsa-brava;Liana/Scandent/Vine,subshrubs;NE;NE;NA;NE;dry;dehiscent;non-winged;subglobose;capsule;Autochory;triangular;PY - mechanically scarified;ORT;https://doi.org/10.2307/2395053,https://doi.org/10.1590/2175-7860202172084,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Cordiaceae;Cordia;oncocalyx;pau-branco;Tree;ED;LC;NA;LC;dry;indehiscent;non-winged;globose;drupe;Anemochory;elliptical acuminate;PD - removal partial or total of the endocarp;NA;https://doi.org/10.1590/2175-7860200859403,https://doi.org/10.12705/653.5,https://doi.org/10.1590/1983-21252022v35n116rc,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Erythroxylaceae;Erythroxylum;pungens;rompe-gibÆo;Shrub,tree;ED;LC;NA;NE;fleshy;indehiscent;non-winged;ellipsoid;drupe;Zoochory;elliptic;ND;NA;https://doi.org/10.1590/2175-7860201465306,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Albizia;inundata;muquem;Tree;NE;LC;NA;NE;dry;dehiscent;non-winged;compressed-flat;cryptoloment;Autochory;elliptic,oblong;PY - mechanically scarified;ORT;https://doi.org/10.1590/2175-7860201768131,https://doi.org/10.18677/EnciBio_2019A150,https://doi.org/10.1590/S2236-89062013000400003,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Apuleia;leiocarpa;juta¡;Shrub,tree;NE;LC;VU;VU;dry;indehiscent;winged;elliptic to rounded(square to obovate);samara;Anemochory;elliptic,obovate,ovoid;PY - mechanically scarified;ORT;https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Canavalia;brasiliensis;feijÆo-de-porco,feijÆo-bravo;Liana/Scandent/Vine;NE;NE;NA;NE;dry;dehiscent;winged;oblong;legume;Anemochory;ellipsoid;PY - mechanically scarified;ORT;https://doi.org/10.1590/S1676-06032013000400028,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Cenostigma;microphyllum;catingueira-miuda;Shrub,tree;ED;LC;NA;NE;dry;dehiscent;non-winged;obovate;legume;Autochory;elliptic,ovoid,orbicular;PY - mechanically scarified;ORT_NEMA;https://www.jstor.org/stable/23223204,https://doi.org/10.3897/phytokeys.71.9203,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Cratylia;mollis;camaratuba;Shrub,Liana/Scandent/Vine;ED;NE;NA;NE;dry;dehiscent;non-winged;linear;legume;Autochory;orbicular,ovoid;PY - mechanically scarified;NA;https://doi.org/10.1590/S0100-84042004000400013,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Dalbergia;cearensis;violeta,pau-violeta;Tree;ED;NT;NA;NT;dry;indehiscent;winged;elliptic,oblong;samara;Anemochory;flattened,oblong,reniform;ND;NA;https://doi.org/10.1590/S0102-33062010000400013,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Erythrina;velutina;mulung£;Tree;NE;NE;NA;NE;dry;dehiscent;non-winged;oblong;legume;Zoochory;reniform;PY - mechanically scarified;ORT_NEMA;https://doi:10.1017/S0266467401001201,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Geoffroea;spinosa;marizeiro;Tree;NE;LC;NA;NE;fleshy;indehiscent;non-winged;ovoid;drupe;Zoochory;oblong;PD - removal partial or total of the endocarp;REC_NEMA;https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Hymenaea;courbaril;jatob ;Tree;NE;LC;NA;LC;dry;indehiscent;non-winged;oblong,ovoid;legume;Zoochory;ellipsoid,ovoid,obovate;PY - mechanically scarified;ORT_NEMA;https://doi.org/10.13102/scb1092,https://www.jstor.org/stable/23500773,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Hymenaea;martiana;jatob ;Tree;NE;LC;NA;LC;dry;indehiscent;non-winged;oblong;legume;Zoochory;ellipsoid,ovoid,obovate;PY - mechanically scarified;NA;https://doi.org/10.13102/scb1092,https://www.jstor.org/stable/23500773,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
Fabaceae;Inga;vera;ing ;Tree;NE;LC;NA;NE;fleshy;indehiscent;non-winged;cylindrical;legume;Zoochory;oblong;ND;REC;https://doi.org/10.1590/S0102-33062007000300005,https://doi.org/10.2307/2399826,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Lonchocarpus;sericeus;inga,ingazeiro,violete;Tree;NE;LC;NA;NE;dry;indehiscent;non-winged;oblong,oblong-falcate;legume;Zoochory;rounded,oblong, reniform;PY - mechanically scarified;ORT;https://doi.org/10.5935/1984-2295.20160078,https://doi.org/10.1590/S0102-33062012000200012,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Mimosa;arenosa;jurema,calumb¡-roxo,espinheiro-branco;Shrub,tree;NE;LC;NA;NE;dry;indehiscent;non-winged;linear,oblong;craspedium;Autochory;ellipsoid;PY - mechanically scarified;ORT;https://doi.org/10.1590/2175-7860201566107,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640,https://ser-sid.org/
Fabaceae;Mimosa;caesalpiniifolia;sabi ;Shrub,tree;ED;LC;NA;LC;dry;indehiscent;non-winged;compressed-flat;craspedium;Autochory;obovate;PY - mechanically scarified;NA;https://www.jstor.org/stable/23496041,https://www.jstor.org/stable/23500773,https://dspace.jbrj.gov.br/jspui/handle/doc/26,https://doi.org/10.1002/tax.12640
